Package            Version  Latest Type
------------------ -------- ------ -----
anyio              3.3.4    3.5.0  wheel
argon2-cffi        21.1.0   21.3.0 wheel
attrs              21.2.0   21.4.0 wheel
cffi               1.14.6   1.15.0 wheel
charset-normalizer 2.0.0    2.0.10 wheel
cryptography       35.0.0   36.0.1 wheel
decorator          5.1.0    5.1.1  wheel
fastapi            0.70.0   0.71.0 wheel
idna               3.1      3.3    wheel
importlib-metadata 4.8.2    4.10.0 wheel
ipykernel          6.6.0    6.6.1  wheel
ipython            7.29.0   7.31.0 wheel
jedi               0.18.0   0.18.1 wheel
jsonschema         4.2.1    4.3.3  wheel
jupyter-client     7.0.6    7.1.0  wheel
mistune            0.8.4    2.0.1  wheel
more-itertools     8.10.0   8.12.0 wheel
nbclient           0.5.5    0.5.9  wheel
nbconvert          6.2.0    6.4.0  wheel
nest-asyncio       1.5.1    1.5.4  wheel
notebook           6.4.5    6.4.6  wheel
numpy              1.21.4   1.22.0 wheel
packaging          21.0     21.3   wheel
pandas             1.3.4    1.3.5  sdist
parso              0.8.2    0.8.3  wheel
Pillow             8.4.0    9.0.0  wheel
platformdirs       2.3.0    2.4.1  wheel
prompt-toolkit     3.0.22   3.0.24 wheel
pydantic           1.8.2    1.9.0  wheel
Pygments           2.10.0   2.11.2 wheel
pyparsing          3.0.5    3.0.6  wheel
requests           2.26.0   2.27.1 wheel
scikit-learn       1.0.1    1.0.2  wheel
scipy              1.7.1    1.7.3  wheel
setuptools         58.5.3   60.5.0 wheel
starlette          0.16.0   0.17.1 wheel
tomli              1.2.2    2.0.0  wheel
typed-ast          1.5.0    1.5.1  wheel
typing-extensions  3.10.0.2 4.0.1  wheel
urllib3            1.26.7   1.26.8 wheel
uvicorn            0.15.0   0.16.0 wheel
Werkzeug           2.0.1    2.0.2  wheel
wheel              0.37.0   0.37.1 wheel
zipp               3.6.0    3.7.0  wheel
